,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,location,price
5917, 1N4BL4BVXLC214714,Nissan,['Altima'],2.5 S FWD,2020,"61,506", 28,39, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Daytona Beach, FL","21,888"
5918, 1FTEW1EP7KFC58760,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,2019,"54,897", 18,23, Automatic, 4WD,Gas,Black,Gray,0,1, Personal use,"Union City, GA","35,944"
5919, 3FA6P0HD9KR145740,Ford,['Fusion'],SE FWD,2019,"55,608", 23,34, Automatic, FWD,Gas,Gray,Gray,0,2, Fleet use,"Manassas, VA","18,700"
5920, 19XFC2F65LE000399,Honda,['Civic'],LX Sedan CVT,2020,"77,194", 30,38, Automatic, FWD,Gas,Silver,Unknown,1,1, Fleet use,"Duluth, GA","18,485"
5921, 1GCRWCED8KZ311693,Chevrolet,"['Silverado', '1500']",LT Double Cab Standard Box 2WD,2019,"76,147", 20,23, Automatic, RWD,Gas,White,Black,0,1, Personal use,"Woodland, CA","30,800"
5922, 1C6RR7TM1GS116141,Ram,['1500'],"Big Horn Crew Cab 6'4"" Box 4WD",2016,"110,633", 15,21, Automatic, 4WD,Diesel,Silver,Gray,0,2, Personal use,"Sterling Heights, MI","21,795"
5923, JTHFN48YX20001817,Lexus,['SC'],SC 430 Convertible,2002,"134,497", 18,23, Automatic, RWD,Gas,Red,Black,0,5, Personal use,"San Diego, CA","10,950"
5924, 1N4AL3AP8FN306311,Nissan,['Altima'],2.5 S,2015,"122,557", 27,38, Automatic, FWD,Gas,Black,Beige,0,4, Fleet use,"Pueblo, CO","12,376"
5925, 5XXGT4L38LG404122,Kia,['Optima'],LX Automatic,2020,"9,161", 24,32, Automatic, FWD,Gas,Gray,Black,0,1, Personal use,"Austin, TX","25,998"
5926, 1FTEW1CP0LKF03927,Ford,['F-150'],XL SuperCrew 5.5' Box 2WD,2020,"20,384", 19,25, Automatic, RWD,Gas,White,Black,0,2, Personal use,"Avondale, AZ","37,789"
5927, 3C4NJDCB3JT332574,Jeep,['Compass'],Limited 4WD,2018,"57,610", 22,30, Automatic, 4WD,Gas,Black,Black,0,2, Personal use,"Milton, FL","25,000"
5928, 1C4PJMDX8KD255355,Jeep,['Cherokee'],Limited 4WD,2019,"34,476", 19,27, Automatic, 4WD,Gas,Silver,Black,0,1, Personal use,"Oswego, NY","26,585"
5929, 1FM5K7F82HGE26793,Ford,['Explorer'],Limited FWD,2017,"73,968", 19,27, Automatic, FWD,Gas,Black,Beige,0,3, Personal use,"Chesapeake, VA","24,994"
5930, 3FA6P0HD7JR154340,Ford,['Fusion'],SE FWD,2018,"58,667", 21,32, Automatic, FWD,Gas,Black,Black,0,2, Fleet use,"Buford, GA","19,378"
5931, 1C6SRFLT8LN337053,Ram,['1500'],"Rebel Crew Cab 5'7"" Box 4WD",2020,"13,295", 19,24, Automatic, 4WD,Gas,White,Black,0,1, Personal use,"Wernersville, PA","49,956"
5932, 3GNAXJEV4JS540463,Chevrolet,['Equinox'],LT with 1LT FWD,2018,"134,818", 26,32, Automatic, FWD,Gas,Silver,Black,1,2, Fleet use,"Republic, MO","16,990"
5933, 1C4RJFBG6KC636375,Jeep,"['Grand', 'Cherokee']",Limited 4WD,2019,"39,528", 18,25, Automatic, 4WD,Gas,Gray,Black,0,1, Personal use,"Marlborough, MA","33,000"
5934, WP1AA2A59JLB10888,Porsche,['Macan'],Sport Edition AWD,2018,"36,412", 20,25, Automatic, AWD,Gas,Black,Black,0,2, Personal use,"Fort Worth, TX","43,590"
5935, 5YFEPMAE8MP220842,Toyota,['Corolla'],LE CVT,2021,"43,030", 30,38, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Live Oak, TX","23,128"
5936, 3GCUKREC9JG595379,Chevrolet,"['Silverado', '1500']",LT Crew Cab Short Box 4WD,2018,"55,610", 17,22, Automatic, 4WD,Gas,White,Black,1,1, Personal use,"Oroville, CA","37,998"
